"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00054","","","","39","39","1","3","9","24","28","24","30","28","5","1.5","4","3","5","7.76","4","6.5","30.5","58","0.166666667","0.053571429","0.112068966","2.071428571","1.487179487","1.071428571","0.769230769","0.232142857","0.166666667","0.857142857","0.615384615","51.72413793","21.31147541","71.79487179","4.748338082","6.613756614","6.172839506","8.597883598","22.79202279","31.74603175","28.9648623","40.34391534"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00055","","","","39","39","1","1","9","26","33","33","118","80","17.5","5.2","4","4","4","14.37","3","22.7","48.7","198","0.148305085","0.065","0.114646465","6","5.076923077","3.575757576","3.025641026","0.687878788","0.582051282","0.787878788","0.666666667","59.5959596","46.61190965","84.61538462","16.61918329","19.64085297","21.55745489","25.47699214","24.69135802","29.18069585","46.24881292","54.65768799"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00056","","","","39","39","1","1","9","29","28","27","61","72","18","5","4","4","5","14.37","","23","52","133","0.295081967","0.069444444","0.172932331","4.75","3.41025641","2.178571429","1.564102564","0.821428571","0.58974359","1.035714286","0.743589744","45.86466165","44.23076923","71.79487179","17.09401709","23.80952381","21.84235518","30.42328042","27.54036087","38.35978836","49.38271605","68.78306878"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00057","","","","39","39","1","1","9","29","25","25","38","92","5","3","3","3","5","14.37","","8","37","130","0.131578947","0.032608696","0.061538462","5.2","3.333333333","1.52","0.974358974","0.32","0.205128205","1.16","0.743589744","29.23076923","21.62162162","64.1025641","4.748338082","7.407407407","7.597340931","11.85185185","27.54036087","42.96296296","35.1377018","54.81481481"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00058","","","","39","39","1","1","9","23.5","31","26","21","31","4","1.5","3","4","5","14.37","3","5.5","29","52","0.19047619","0.048387097","0.105769231","1.677419355","1.333333333","0.677419355","0.538461538","0.177419355","0.141025641","0.758064516","0.602564103","40.38461538","18.96551724","79.48717949","3.798670465","4.778972521","5.22317189","6.571087216","22.31718898","28.07646356","27.54036087","34.64755078"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00059","","","","39","39","1","1","9","37","30","25","43","85","12","6","4","3","4","3.96","","18","55","128","0.279069767","0.070588235","0.140625","4.266666667","3.282051282","1.433333333","1.102564103","0.6","0.461538462","1.233333333","0.948717949","33.59375","32.72727273","76.92307692","11.3960114","14.81481481","17.09401709","22.22222222","35.1377018","45.67901235","52.2317189","67.90123457"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00060","","","","39","39","1","1","9","20","28","24","14","19","5","1","4","4","5","7.76","5","6","26","33","0.357142857","0.052631579","0.181818182","1.178571429","0.846153846","0.5","0.358974359","0.214285714","0.153846154","0.714285714","0.512820513","42.42424242","23.07692308","71.79487179","4.748338082","6.613756614","5.698005698","7.936507937","18.99335233","26.45502646","24.69135802","34.39153439"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00061","","","","39","35","1","3","9","30","31","31","60","93","8.5","3","4","4","5","14.37","","11.5","41.5","153","0.141666667","0.032258065","0.075163399","4.935483871","3.923076923","1.935483871","1.538461538","0.370967742","0.294871795","0.967741935","0.769230769","39.21568627","27.71084337","79.48717949","8.072174739","10.15531661","10.92117759","13.739546","28.49002849","35.84229391","39.41120608","49.5818399"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00062","","","","39","39","1","1","9","18.5","20","10","42","18","6","1","4","4","4","12.39","","7","25.5","60","0.142857143","0.055555556","0.116666667","3","1.538461538","2.1","1.076923077","0.35","0.179487179","0.925","0.474358974","70","27.45098039","51.28205128","5.698005698","11.11111111","6.647673314","12.96296296","17.5688509","34.25925926","24.21652422","47.22222222"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00063","","","","39","39","1","9","9","14","28","27","96","128","9","3.5","3","3","5","12.39","5","12.5","26.5","224","0.09375","0.02734375","0.055803571","8","5.743589744","3.428571429","2.461538462","0.446428571","0.320512821","0.5","0.358974359","42.85714286","47.16981132","71.79487179","8.547008547","11.9047619","11.8708452","16.53439153","13.29534663","18.51851852","25.16619183","35.05291005"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00064","","","","39","39","1","1","9","23","25","20","21","39","4","2.5","4","3","5","12.39","4","6.5","29.5","60","0.19047619","0.064102564","0.108333333","2.4","1.538461538","0.84","0.538461538","0.26","0.166666667","0.92","0.58974359","35","22.03389831","64.1025641","3.798670465","5.925925926","6.172839506","9.62962963","21.84235518","34.07407407","28.01519468","43.7037037"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00065","","","","39","39","1","1","9","21.5","32","26","56","90","10","4","4","4","5","3.03","4","14","35.5","146","0.178571429","0.044444444","0.095890411","4.5625","3.743589744","1.75","1.435897436","0.4375","0.358974359","0.671875","0.551282051","38.35616438","39.43661972","82.05128205","9.496676163","11.57407407","13.29534663","16.2037037","20.41785375","24.88425926","33.71320038","41.08796296"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00066","","","","39","31","1","2","8","19.5","27","18","37","19","16","2","5","3","5","0.02","4","18","37.5","56","0.432432432","0.105263158","0.321428571","2.074074074","1.435897436","1.37037037","0.948717949","0.666666667","0.461538462","0.722222222","0.5","66.07142857","48","69.23076923","15.19468186","21.9478738","17.09401709","24.69135802","18.51851852","26.74897119","35.61253561","51.44032922"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00067","","","","39","39","1","1","9","31","27","27","65","46","15","2","4","4","4","6.12","4","17","48","111","0.230769231","0.043478261","0.153153153","4.111111111","2.846153846","2.407407407","1.666666667","0.62962963","0.435897436","1.148148148","0.794871795","58.55855856","35.41666667","69.23076923","14.24501425","20.57613169","16.14434948","23.31961591","29.43969611","42.52400549","45.58404558","65.8436214"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00068","","","","39","37","1","1","9","25","26","22","55","47","11","2.5","4","4","5","14.37","","13.5","38.5","102","0.2","0.053191489","0.132352941","3.923076923","2.615384615","2.115384615","1.41025641","0.519230769","0.346153846","0.961538462","0.641025641","53.92156863","35.06493506","66.66666667","10.44634378","15.66951567","12.82051282","19.23076923","23.74169041","35.61253561","36.56220323","54.84330484"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00069","","","","39","39","1","1","9","17.5","27","26","140","84","31","4.5","5","4","4","12.39","","35.5","53","224","0.221428571","0.053571429","0.158482143","8.296296296","5.743589744","5.185185185","3.58974359","1.314814815","0.91025641","0.648148148","0.448717949","62.5","66.98113208","69.23076923","29.43969611","42.52400549","33.71320038","48.69684499","16.61918329","24.00548697","50.33238367","72.70233196"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00070","","","","39","39","1","1","9","28","28","25","34","31","16","4.5","5","3","5","7.23","","20.5","48.5","65","0.470588235","0.14516129","0.315384615","2.321428571","1.666666667","1.214285714","0.871794872","0.732142857","0.525641026","1","0.717948718","52.30769231","42.26804124","71.79487179","15.19468186","21.16402116","19.46818613","27.11640212","26.59069326","37.03703704","46.05887939","64.15343915"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00071","","","","39","37","1","2","9","20","33","33","98","106","13","5","4","4","5","14.37","3","18","38","204","0.132653061","0.047169811","0.088235294","6.181818182","5.230769231","2.96969697","2.512820513","0.545454545","0.461538462","0.606060606","0.512820513","48.03921569","47.36842105","84.61538462","12.34567901","14.59034792","17.09401709","20.2020202","18.99335233","22.44668911","36.08736942","42.64870932"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00072","","","","39","39","1","1","9","20.5","28","25","76","36","13","1.7","4","3","5","14.37","","14.7","35.2","112","0.171052632","0.047222222","0.13125","4","2.871794872","2.714285714","1.948717949","0.525","0.376923077","0.732142857","0.525641026","67.85714286","41.76136364","71.79487179","12.34567901","17.1957672","13.96011396","19.44444444","19.46818613","27.11640212","33.42830009","46.56084656"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00073","","","","39","39","1","1","9","21","27","24","105","82","14","5","4","3","5","7.76","","19","40","187","0.133333333","0.06097561","0.101604278","6.925925926","4.794871795","3.888888889","2.692307692","0.703703704","0.487179487","0.777777778","0.538461538","56.14973262","47.5","69.23076923","13.29534663","19.20438957","18.04368471","26.06310014","19.94301994","28.80658436","37.98670465","54.8696845"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00074","","","","39","39","1","1","9","21.5","31","30","85","130","11","5","4","4","5","12.39","","16","37.5","215","0.129411765","0.038461538","0.074418605","6.935483871","5.512820513","2.741935484","2.179487179","0.516129032","0.41025641","0.693548387","0.551282051","39.53488372","42.66666667","79.48717949","10.44634378","13.14217443","15.19468186","19.11589008","20.41785375","25.6869773","35.61253561","44.80286738"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00075","","","","39","39","1","1","9","20.5","34","34","84","45","33","3","5","3","5","1.32","5","36","56.5","129","0.392857143","0.066666667","0.279069767","3.794117647","3.307692308","2.470588235","2.153846154","1.058823529","0.923076923","0.602941176","0.525641026","65.11627907","63.71681416","87.17948718","31.33903134","35.94771242","34.18803419","39.21568627","19.46818613","22.33115468","53.65622032","61.54684096"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00076","","","","39","39","1","1","9","26","24","13","10","18","3","1","4","3","5","14.37","","4","30","28","0.3","0.055555556","0.142857143","1.166666667","0.717948718","0.416666667","0.256410256","0.166666667","0.102564103","1.083333333","0.666666667","35.71428571","13.33333333","61.53846154","2.849002849","4.62962963","3.798670465","6.172839506","24.69135802","40.12345679","28.49002849","46.2962963"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00077","","","","39","36","1","1","8","17.5","25","20","41","30","7","2","4","4","5","12.39","4","9","26.5","71","0.170731707","0.066666667","0.126760563","2.84","1.820512821","1.64","1.051282051","0.36","0.230769231","0.7","0.448717949","57.74647887","33.96226415","64.1025641","6.647673314","10.37037037","8.547008547","13.33333333","16.61918329","25.92592593","25.16619183","39.25925926"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00078","","","","39","20","1","1","7","19","20","19","28","7","8","1.2","4","3","3","10.5","","9.2","28.2","35","0.285714286","0.171428571","0.262857143","1.75","0.897435897","1.4","0.717948718","0.46","0.235897436","0.95","0.487179487","80","32.62411348","51.28205128","7.597340931","14.81481481","8.73694207","17.03703704","18.04368471","35.18518519","26.78062678","52.22222222"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00079","","","","39","39","1","1","9","21.5","32","23","35","33","6","2","3","3","4","14.37","3","8","29.5","68","0.171428571","0.060606061","0.117647059","2.125","1.743589744","1.09375","0.897435897","0.25","0.205128205","0.671875","0.551282051","51.47058824","27.11864407","82.05128205","5.698005698","6.944444444","7.597340931","9.259259259","20.41785375","24.88425926","28.01519468","34.14351852"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00080","","","","39","39","1","3","9","21","28","24","45","18","7","1","4","3","5","3.03","","8","29","63","0.155555556","0.055555556","0.126984127","2.25","1.615384615","1.607142857","1.153846154","0.285714286","0.205128205","0.75","0.538461538","71.42857143","27.5862069","71.79487179","6.647673314","9.259259259","7.597340931","10.58201058","19.94301994","27.77777778","27.54036087","38.35978836"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00081","","","","39","37","1","1","9","24","37","37","89","80","17","8","4","3","5","14.37","","25","49","169","0.191011236","0.1","0.147928994","4.567567568","4.333333333","2.405405405","2.282051282","0.675675676","0.641025641","0.648648649","0.615384615","52.66272189","51.02040816","94.87179487","16.14434948","17.01701702","23.74169041","25.02502503","22.79202279","24.02402402","46.5337132","49.04904905"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00082","","","","39","39","1","1","9","15","34","32","46","37","17","2","5","4","4","4.92","","19","34","83","0.369565217","0.054054054","0.228915663","2.441176471","2.128205128","1.352941176","1.179487179","0.558823529","0.487179487","0.441176471","0.384615385","55.42168675","55.88235294","87.17948718","16.14434948","18.51851852","18.04368471","20.69716776","14.24501425","16.33986928","32.28869896","37.03703704"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00083","","","","39","39","1","1","9","33","28","25","25","35","3.5","2","3","3","5","14.37","","5.5","38.5","60","0.14","0.057142857","0.091666667","2.142857143","1.538461538","0.892857143","0.641025641","0.196428571","0.141025641","1.178571429","0.846153846","41.66666667","14.28571429","71.79487179","3.323836657","4.62962963","5.22317189","7.275132275","31.33903134","43.65079365","36.56220323","50.92592593"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00084","","","","39","39","1","1","9","21.5","25","21","34","129","8","5","3","3","5","7.76","4","13","34.5","163","0.235294118","0.03875969","0.079754601","6.52","4.179487179","1.36","0.871794872","0.52","0.333333333","0.86","0.551282051","20.85889571","37.68115942","64.1025641","7.597340931","11.85185185","12.34567901","19.25925926","20.41785375","31.85185185","32.76353276","51.11111111"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00085","","","","39","39","1","1","9","22.5","34","32","61","73","8.5","5","4","2","3","0.02","3","13.5","36","134","0.139344262","0.068493151","0.100746269","3.941176471","3.435897436","1.794117647","1.564102564","0.397058824","0.346153846","0.661764706","0.576923077","45.52238806","37.5","87.17948718","8.072174739","9.259259259","12.82051282","14.70588235","21.36752137","24.50980392","34.18803419","39.21568627"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00086","","","","39","39","1","1","9","26","24","15","31","18","5","1.7","4","3","5","14.37","4","6.7","32.7","49","0.161290323","0.094444444","0.136734694","2.041666667","1.256410256","1.291666667","0.794871795","0.279166667","0.171794872","1.083333333","0.666666667","63.26530612","20.48929664","61.53846154","4.748338082","7.716049383","6.362773029","10.33950617","24.69135802","40.12345679","31.05413105","50.46296296"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00087","","","","39","39","1","1","9","27","20","18","30","28","7.5","2","4","4","5","10.5","","9.5","36.5","58","0.25","0.071428571","0.163793103","2.9","1.487179487","1.5","0.769230769","0.475","0.243589744","1.35","0.692307692","51.72413793","26.02739726","51.28205128","7.122507123","13.88888889","9.021842355","17.59259259","25.64102564","50","34.662868","67.59259259"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00088","","","","39","39","1","1","8","30","20","16","28","28","7","2","4","4","5","14.37","4","9","39","56","0.25","0.071428571","0.160714286","2.8","1.435897436","1.4","0.717948718","0.45","0.230769231","1.5","0.769230769","50","23.07692308","51.28205128","6.647673314","12.96296296","8.547008547","16.66666667","28.49002849","55.55555556","37.03703704","72.22222222"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00089","","","","39","39","1","9","9","7","31","28","30","50","3.5","3.2","3","3","4","4.92","","6.7","13.7","80","0.116666667","0.064","0.08375","2.580645161","2.051282051","0.967741935","0.769230769","0.216129032","0.171794872","0.225806452","0.179487179","37.5","48.90510949","79.48717949","3.323836657","4.181600956","6.362773029","8.004778973","6.647673314","8.363201912","13.01044634","16.36798088"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00090","","","","39","39","1","1","9","25","36","36","94","120","15","5.5","4","3","5","12.39","4","20.5","45.5","214","0.159574468","0.045833333","0.095794393","5.944444444","5.487179487","2.611111111","2.41025641","0.569444444","0.525641026","0.694444444","0.641025641","43.92523364","45.05494505","92.30769231","14.24501425","15.43209877","19.46818613","21.09053498","23.74169041","25.72016461","43.20987654","46.81069959"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00091","","","","39","39","1","1","9","25","35","33","92","46","19","4","4","4","4","12.39","","23","48","138","0.206521739","0.086956522","0.166666667","3.942857143","3.538461538","2.628571429","2.358974359","0.657142857","0.58974359","0.714285714","0.641025641","66.66666667","47.91666667","89.74358974","18.04368471","20.10582011","21.84235518","24.33862434","23.74169041","26.45502646","45.58404558","50.79365079"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00092","","","","39","39","1","1","9","23","22","17","47","50","19.5","4","4","3","5","4.92","","23.5","46.5","97","0.414893617","0.08","0.242268041","4.409090909","2.487179487","2.136363636","1.205128205","1.068181818","0.602564103","1.045454545","0.58974359","48.45360825","50.53763441","56.41025641","18.51851852","32.82828283","22.31718898","39.56228956","21.84235518","38.72053872","44.15954416","78.28282828"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00093","","","","39","39","1","1","9","34","27","20","45","20","8","1","4","3","5","7.76","","9","43","65","0.177777778","0.05","0.138461538","2.407407407","1.666666667","1.666666667","1.153846154","0.333333333","0.230769231","1.259259259","0.871794872","69.23076923","20.93023256","69.23076923","7.597340931","10.9739369","8.547008547","12.34567901","32.28869896","46.63923182","40.8357075","58.98491084"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00094","","","","39","39","1","1","9","22.5","32","21","50","59","12","2.5","4","3","4","14.37","","14.5","37","109","0.24","0.042372881","0.133027523","3.40625","2.794871795","1.5625","1.282051282","0.453125","0.371794872","0.703125","0.576923077","45.87155963","39.18918919","82.05128205","11.3960114","13.88888889","13.77018044","16.78240741","21.36752137","26.04166667","35.1377018","42.82407407"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00095","","","","39","39","1","1","9","31","31","29","131","55","41","6","5","4","5","1.65","4","47","78","186","0.312977099","0.109090909","0.252688172","6","4.769230769","4.225806452","3.358974359","1.516129032","1.205128205","1","0.794871795","70.43010753","60.25641026","79.48717949","38.93637227","48.98446834","44.63437797","56.15292712","29.43969611","37.03703704","74.07407407","93.18996416"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00096","","","","39","39","1","1","9","19","23","19","29","50","9","3","4","3","5","10.5","","12","31","79","0.310344828","0.06","0.151898734","3.434782609","2.025641026","1.260869565","0.743589744","0.52173913","0.307692308","0.826086957","0.487179487","36.70886076","38.70967742","58.97435897","8.547008547","14.49275362","11.3960114","19.3236715","18.04368471","30.5958132","29.43969611","49.9194847"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00097","","","","39","38","1","1","9","23.5","24","21","104","112","12","7","4","4","5","12.39","4","19","42.5","216","0.115384615","0.0625","0.087962963","9","5.538461538","4.333333333","2.666666667","0.791666667","0.487179487","0.979166667","0.602564103","48.14814815","44.70588235","61.53846154","11.3960114","18.51851852","18.04368471","29.32098765","22.31718898","36.2654321","40.36087369","65.58641975"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00098","","","","39","39","1","4","9","21","35","33","79","44","12.5","2","4","4","4","11.03","4","14.5","35.5","123","0.158227848","0.045454545","0.117886179","3.514285714","3.153846154","2.257142857","2.025641026","0.414285714","0.371794872","0.6","0.538461538","64.22764228","40.84507042","89.74358974","11.8708452","13.22751323","13.77018044","15.34391534","19.94301994","22.22222222","33.71320038","37.56613757"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00099","","","","39","10","1","3","4","18","10","8","44","39","6","2","4","3","4","12.39","3","8","26","83","0.136363636","0.051282051","0.096385542","8.3","2.128205128","4.4","1.128205128","0.8","0.205128205","1.8","0.461538462","53.01204819","30.76923077","25.64102564","5.698005698","22.22222222","7.597340931","29.62962963","17.09401709","66.66666667","24.69135802","96.2962963"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00100","","","","39","39","1","1","9","25","31","31","80","34","13.5","2","4","3","4","7.76","","15.5","40.5","114","0.16875","0.058823529","0.135964912","3.677419355","2.923076923","2.580645161","2.051282051","0.5","0.397435897","0.806451613","0.641025641","70.1754386","38.27160494","79.48717949","12.82051282","16.12903226","14.71984805","18.51851852","23.74169041","29.86857826","38.46153846","48.38709677"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00101","","","","39","39","1","1","9","23","32","28","89","39","30","3","4","3","4","14.37","4","33","56","128","0.337078652","0.076923077","0.2578125","4","3.282051282","2.78125","2.282051282","1.03125","0.846153846","0.71875","0.58974359","69.53125","58.92857143","82.05128205","28.49002849","34.72222222","31.33903134","38.19444444","21.84235518","26.62037037","53.18138651","64.81481481"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00102","","","","39","39","1","1","9","43","29","20","20","22","3","2","3","3","5","7.76","","5","48","42","0.15","0.090909091","0.119047619","1.448275862","1.076923077","0.689655172","0.512820513","0.172413793","0.128205128","1.482758621","1.102564103","47.61904762","10.41666667","74.35897436","2.849002849","3.831417625","4.748338082","6.385696041","40.8357075","54.91698595","45.58404558","61.30268199"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00103","","","","39","39","1","1","9","22","34","26","80","58","17","5","4","4","5","11.03","4","22","44","138","0.2125","0.086206897","0.15942029","4.058823529","3.538461538","2.352941176","2.051282051","0.647058824","0.564102564","0.647058824","0.564102564","57.97101449","50","87.17948718","16.14434948","18.51851852","20.89268756","23.96514161","20.89268756","23.96514161","41.78537512","47.93028322"
"","","MZP2010CKE-AT04","","","","","","","","","MZP2010CKE-AT04-00104","","","","39","34","1","1","8","26","30","20","26","30","9.5","2","4","3","3","10.5","4","11.5","37.5","56","0.365384615","0.066666667","0.205357143","1.866666667","1.435897436","0.866666667","0.666666667","0.383333333","0.294871795","0.866666667","0.666666667","46.42857143","30.66666667","76.92307692","9.021842355","11.72839506","10.92117759","14.19753086","24.69135802","32.09876543","35.61253561","46.2962963"
